,SDS_CODE,SDS_KT,SDS_NR,SDS_NAME,BFS_CODE,COORD_X,COORD_Y,LAT,LONG,POPS2018,1022_sechs,1045_Donnstig,1054_1055_Rucken,1074_Kase,1095_Schnee,1105_Eis,1107_Mause,1160_Apfel,2027_Besen,2097_trinken,2147_folgen,3008_gelaufen,3056_gehen_1sg,4071_Schluckauf
400,SZ9,SZ,9,Kussnacht,1331,676100,215100,47.08254,8.44077,13087,c_ä_übof,c_o,c_ü,c_ä_übof,c_e_geschl / c_ei,c_ii,c_üü,c_ö,c_kurz / c_lang,c_nk,c_l,c_glaufe / c_gloffe,c_gaa,c_higg
401,SZ10,SZ,10,Arth,1362,683500,212100,47.05466,8.53765,11985,c_ä_übof,c_o,c_ü,c_ä_übof,c_ei,c_ii,c_üü,c_ö,c_kurz,c_nk,c_l,c_glaufe / c_gloffe,c_gaa,c_higg
402,SZ11,SZ,11,Gersau,1311,682700,205100,46.9918,8.52585,2319,c_ä_übof,c_o,c_ü,c_ä_übof,c_e_geschl / c_ei,c_ii,c_üü,c_ö,c_kurz / c_lang,c_nk,c_l,c_gluffe,c_gaa,c_higg
403,SZ12,SZ,12,Lauerz,1365,686700,210000,47.03536,8.57936,1100,c_ä_übof,c_u,c_ü,c_ä_übof,c_ei,c_ii,c_üü,c_ö,c_kurz,c_nk,c_l,c_gloffe,c_gaa,c_higg
404,SZ13,SZ,13,Schwyz,1372,692400,208500,47.0211,8.65404,15181,c_ä_übof,c_u,c_ü,c_ä_übof,c_e_geschl / c_ei,c_ii,c_üü,c_ö,c_kurz,c_nk,c_l,c_glaufe / c_gloffe,c_gaa,c_higg
405,SZ14,SZ,14,Alpthal,1361,697000,214100,47.07081,8.71574,616,c_ä_übof,c_u,c_ü,c_ä_übof,c_ei,c_ii,c_üü,c_ö,c_kurz,c_nk,c_l,c_glaufe / c_gloffe,c_gaa,c_higg
406,SZ15,SZ,15,Muotathal,1367,700400,203500,46.97497,8.75815,3527,c_ä_übof,c_u,c_ü,c_a_hell,c_e_geschl,c_ii,c_üü,c_ö,c_kurz,c_nk,c_l,NA,c_gaa,c_higg
407,SZ16,SZ,16,Oberiberg,1368,702100,210700,47.03947,8.78211,902,c_ä_übof,c_u,c_ü,c_ä_übof,c_ei,c_ii,c_üü,c_ö,c_kurz,c_nk,c_l,c_glaufe / c_gloffe,c_gaa,c_higg
408,TG1,TG,1,Basadingen,4536,698300,280600,47.66866,8.74745,1837,c_e_geschl,c_u,c_u,c_è_neutr,c_e_geschl,c_ii,c_üü,c_ö,c_kurz,c_nk,c_l,c_gloffe,c_gang,c_higg
409,TG2,TG,2,Oberneunforn,4601,700000,273700,47.60635,8.76852,1039,c_è_neutr,c_u,c_u,c_è_neutr,c_e_geschl,c_ii,c_üü,c_ö,c_kurz,c_nk,c_l,c_gloffe,c_goo,c_higg
410,TG3,TG,3,Huttwilen,4821,707700,273900,47.60693,8.87095,1729,c_è_neutr,c_u,c_u,c_è_neutr,c_e_geschl,c_ii,c_üü,c_ö,c_kurz,c_nk,c_l,c_gloffe,c_gange,c_higg
411,TG4,TG,4,Mammern,4826,711000,278300,47.64595,8.91593,654,c_e_geschl,c_u,c_u,c_è_neutr,c_e_geschl,c_ii,c_üü,c_ö,c_kurz,c_nk,c_l,c_gloffe,c_gang,c_higg
412,TG5,TG,5,Pfyn,4841,714000,272800,47.59598,8.95443,2016,c_e_geschl,c_u,c_u,c_è_neutr,c_e_geschl,c_ii,c_üü,c_ö,c_kurz,c_nk,c_l,c_gloffe,c_gang,c_higg
